ALT TEMP PRESS  [H]  [H2]  [He]  [CH4]  [C2H2]  [C2H4]  [C2H6]  [CH3C2H] [C3H8]  [C4H2]  [C4H10]
233.9 172.9 1.016e+01 5.222e+07 3.883e+14 3.698e+13 2.727e+11 1.693e+10 2.034e+08 7.895e+09 4.233e+08 3.832e+08 2.272e+08 2.784e+06
244.9 176.3 6.383e+00 1.577e+08 2.408e+14 2.132e+13 1.100e+11 1.086e+10 4.182e+08 4.557e+09 5.882e+08 2.110e+08 2.337e+08 8.855e+05
256.0 180.8 4.045e+00 7.382e+08 1.499e+14 1.216e+13 3.869e+10 5.961e+09 4.865e+08 2.300e+09 6.830e+08 1.086e+08 1.822e+08 2.521e+05
267.5 186.6 2.541e+00 2.810e+09 9.196e+13 6.675e+12 1.125e+10 2.484e+09 2.319e+08 7.853e+08 5.633e+08 3.630e+07 5.271e+07 3.758e+04
279.4 194.4 1.609e+00 5.426e+09 5.636e+13 3.588e+12 3.230e+09 7.421e+08 6.982e+07 1.757e+08 2.708e+08 7.386e+06 7.877e+06 4.029e+03
291.9 204.9 1.014e+00 6.562e+09 3.399e+13 1.843e+12 8.002e+08 1.564e+08 1.774e+07 2.596e+07 7.556e+07 8.961e+05 7.722e+05 2.376e+02
305.2 219.8 6.425e-01 6.426e+09 2.025e+13 9.150e+11 1.870e+08 2.782e+07 4.043e+06 3.498e+06 1.357e+07 9.270e+04 6.987e+04 1.528e+01
319.6 241.5 4.006e-01 5.625e+09 1.159e+13 4.165e+11 3.047e+07 2.746e+06 5.296e+05 2.344e+05 9.936e+05 3.418e+03 1.957e+03 2.612e-01
335.7 275.2 2.557e-01 4.479e+09 6.540e+12 1.855e+11 5.324e+06 3.065e+05 6.413e+04 2.040e+04 7.346e+04 1.801e+02 8.388e+01 8.538e-03
354.5 328.7 1.600e-01 3.297e+09 3.450e+12 7.323e+10 5.664e+05 1.584e+04 3.266e+03 7.491e+02 1.780e+03 3.002e+00 1.047e+00 7.366e-05
377.0 390.0 1.016e-01 2.386e+09 1.856e+12 2.922e+10 5.876e+04 7.237e+02 1.342e+02 2.358e+01 2.914e+01 3.266e-02 7.507e-03 2.905e-07
403.4 454.3 6.370e-02 1.729e+09 1.003e+12 1.116e+10 4.149e+03 1.872e+01 2.943e+00 4.162e-01 2.516e-01 2.070e-04 3.342e-05 8.114e-10
433.9 519.2 4.046e-02 1.265e+09 5.587e+11 4.401e+09 2.886e+02 3.788e-01 4.645e-02 5.014e-03 9.274e-04 4.579e-07 3.714e-08 3.484e-13
468.4 582.2 2.550e-02 9.322e+08 3.145e+11 1.695e+09 1.745e+01 7.489e-03 7.461e-04 6.606e-05 5.027e-06 1.766e-09 8.956e-11 4.520e-16
506.7 641.3 1.606e-02 6.953e+08 1.800e+11 6.485e+08 6.461e-01 4.211e-05 2.837e-06 1.729e-07 2.128e-09 3.634e-13 6.572e-15 8.405e-21
548.5 694.7 1.017e-02 5.247e+08 1.052e+11 2.539e+08 3.540e-02 6.732e-07 3.591e-08 1.759e-09 7.633e-12 8.720e-16 8.859e-18 5.288e-24
593.5 741.5 6.381e-03 3.997e+08 6.184e+10 9.620e+07 8.616e-04 1.555e-09 5.112e-11 1.565e-12 6.696e-16 3.052e-20 8.187e-23 8.273e-30
641.3 781.4 4.050e-03 3.080e+08 3.720e+10 3.822e+07 4.313e-05 1.978e-11 5.000e-13 1.187e-14 1.491e-18 4.198e-23 5.596e-26 2.227e-33
691.3 814.7 2.537e-03 2.387e+08 2.231e+10 1.442e+07 8.078e-07 2.651e-14 3.905e-16 5.442e-18 4.939e-23 4.865e-28 1.399e-31 0.000e+00
743.1 841.8 1.611e-03 1.869e+08 1.367e+10 5.760e+06 3.585e-08 2.549e-16 2.792e-18 2.905e-20 6.384e-26 3.578e-31 4.524e-35 0.000e+00
796.6 863.6 1.009e-03 1.467e+08 8.317e+09 2.169e+06 5.961e-10 2.673e-19 1.656e-21 9.829e-24 1.325e-30 2.391e-36 0.000e+00 0.000e+00
851.2 880.9 6.433e-04 1.143e+08 5.174e+09 8.724e+05 2.199e-11 1.494e-21 6.280e-24 2.578e-26 5.315e-34 4.431e-40 0.000e+00 0.000e+00
906.8 894.5 4.063e-04 8.914e+07 3.200e+09 3.410e+05 6.797e-13 6.698e-24 1.899e-26 5.370e-29 1.664e-37 6.364e-44 0.000e+00 0.000e+00
963.2 905.1 2.526e-04 6.946e+07 1.952e+09 1.244e+05 6.898e-15 2.571e-27 3.701e-30 5.344e-33 5.922e-43 5.795e-50 0.000e+00 0.000e+00
1020.1 913.3 1.607e-04 5.456e+07 1.219e+09 4.987e+04 2.778e-16 2.109e-29 2.244e-32 2.362e-35 6.044e-46 3.293e-53 0.000e+00 0.000e+00
1077.5 919.6 1.013e-04 4.279e+07 7.549e+08 1.919e+04 5.442e-18 3.000e-32 1.871e-35 1.122e-38 1.988e-50 3.680e-58 0.000e+00 0.000e+00
1135.2 924.5 6.381e-05 3.355e+07 4.664e+08 7.340e+03 1.100e-19 4.992e-35 1.884e-38 6.651e-42 9.655e-55 6.507e-63 0.000e+00 0.000e+00
1193.2 928.2 4.024e-05 2.631e+07 2.877e+08 2.802e+03 2.315e-21 9.365e-38 2.176e-41 4.613e-45 6.021e-59 1.535e-67 0.000e+00 0.000e+00
1251.4 931.0 2.539e-05 2.060e+07 1.769e+08 1.064e+03 4.920e-23 1.831e-40 2.640e-44 3.387e-48 4.134e-63 4.052e-72 0.000e+00 0.000e+00
1309.8 933.2 1.603e-05 1.609e+07 1.083e+08 3.997e+02 1.016e-24 3.464e-43 3.098e-47 2.404e-51 2.744e-67 1.034e-76 0.000e+00 0.000e+00
1368.3 934.8 1.011e-05 1.254e+07 6.584e+07 1.482e+02 1.991e-26 6.025e-46 3.321e-50 1.548e-54 1.600e-71 2.288e-81 0.000e+00 0.000e+00
1426.9 936.1 6.383e-06 9.723e+06 3.967e+07 5.396e+01 3.607e-28 9.161e-49 3.075e-53 8.508e-58 7.487e-76 3.966e-86 0.000e+00 0.000e+00
1485.5 937.0 4.028e-06 7.501e+06 2.364e+07 1.920e+01 5.905e-30 1.163e-51 2.338e-56 3.770e-61 2.597e-80 4.917e-91 0.000e+00 0.000e+00
1544.2 937.7 2.890e-06 6.197e+06 1.612e+07 8.998e+00 2.831e-31 8.389e-54 1.152e-58 1.268e-63 1.317e-83 1.160e-94 0.000e+00 0.000e+00
1602.9 938.3 2.089e-06 5.121e+06 1.100e+07 4.219e+00 1.361e-32 6.082e-56 5.712e-61 4.287e-66 6.725e-87 2.759e-98 0.000e+00 0.000e+00
1661.7 938.7 1.522e-06 4.233e+06 7.511e+06 1.980e+00 6.568e-34 4.435e-58 2.849e-63 1.460e-68 3.466e-90 6.626e-102 0.000e+00 0.000e+00
1720.5 939.0 1.119e-06 3.500e+06 5.130e+06 9.302e-01 3.182e-35 3.254e-60 1.430e-65 5.007e-71 1.804e-93 1.609e-105 0.000e+00 0.000e+00
1779.3 939.3 8.299e-07 2.894e+06 3.506e+06 4.374e-01 1.548e-36 2.405e-62 7.236e-68 1.731e-73 9.491e-97 3.953e-109 0.000e+00 0.000e+00
1838.1 939.4 6.214e-07 2.394e+06 2.397e+06 2.059e-01 7.565e-38 1.789e-64 3.689e-70 6.033e-76 5.048e-100 9.829e-113 0.000e+00 0.000e+00
1896.9 939.6 4.697e-07 1.981e+06 1.640e+06 9.707e-02 3.714e-39 1.342e-66 1.896e-72 2.121e-78 2.716e-103 2.475e-116 0.000e+00 0.000e+00
1955.7 939.7 3.584e-07 1.640e+06 1.123e+06 4.580e-02 1.832e-40 1.014e-68 9.823e-75 7.524e-81 1.478e-106 6.313e-120 0.000e+00 0.000e+00
2014.6 939.8 2.759e-07 1.358e+06 7.690e+05 2.164e-02 9.077e-42 7.716e-71 5.132e-77 2.693e-83 8.142e-110 1.631e-123 0.000e+00 0.000e+00
2073.4 939.8 2.143e-07 1.124e+06 5.271e+05 1.024e-02 4.520e-43 5.921e-73 2.704e-79 9.723e-86 4.539e-113 4.272e-127 0.000e+00 0.000e+00
