1.1343509110832895e-12,1.7754297220501754e-13,6.963737017673246e-12,3.975133214255141e-13,1.6209281067836504e-14
1.2284768841217377e-12,1.9227510214087332e-13,7.541572779400974e-12,4.304981128241387e-13,1.7554291979236725e-14
1.2022534826451373e-12,1.881707455489305e-13,7.380588317002547e-12,4.2130858309556186e-13,1.717957329127534e-14
1.2205252001119882e-12,1.9103054404220017e-13,7.492757694271232e-12,4.277115850479825e-13,1.7440666574772104e-14
1.2180737710138447e-12,1.9064685853185083e-13,7.477708464451651e-12,4.268525248457815e-13,1.7405636935459053e-14
1.1956299428547367e-12,1.8713406198882927e-13,7.33992665862525e-12,4.189874800965245e-13,1.7084926372867992e-14
1.2316662493051012e-12,1.9277428574320396e-13,7.561152170728e-12,4.31615769745723e-13,1.759986633914599e-14
1.2245529090589405e-12,1.9166094104777558e-13,7.51748364601708e-12,4.291230247934746e-13,1.7498220428471788e-14
1.2209705200227554e-12,1.9110024330348446e-13,7.495491496234113e-12,4.27867639576697e-13,1.744702996332163e-14
1.2233094720135483e-12,1.9146632445547437e-13,7.50985023337771e-12,4.286872841553106e-13,1.748045236361461e-14
1.2294089377759018e-12,1.9242098255089289e-13,7.547294621267141e-12,4.308247346306657e-13,1.7567610538337828e-14
1.2322781911421948e-12,1.9287006384106829e-13,7.564908858347321e-12,4.3183021399732596e-13,1.760861066785213e-14
1.2369916326845357e-12,1.9360778830760276e-13,7.5938444963658e-12,4.3348195666754744e-13,1.767596328158932e-14
1.2392411948215115e-12,1.939598786035211e-13,7.607654472603095e-12,4.342702761444263e-13,1.7708108347636805e-14
1.2435336938377156e-12,1.9463171923597243e-13,7.634005960494015e-12,4.357745069115331e-13,1.7769445912897467e-14
1.2458658055677745e-12,1.949967297843163e-13,7.648322705537622e-12,4.365917544411055e-13,1.7802770569443145e-14
1.2534458361022739e-12,1.9618311852641603e-13,7.694856224144997e-12,4.3924804279494325e-13,1.7911085240182154e-14
1.2627444789426248e-12,1.9763849593319418e-13,7.751940238208718e-12,4.4250658859774733e-13,1.804395798165572e-14
1.2656076997573552e-12,1.9808663303835246e-13,7.76951744168473e-12,4.4350995396283634e-13,1.80848719091642e-14
1.2762838421174453e-12,1.9975760983025555e-13,7.835057872809267e-12,4.472512202395286e-13,1.8237428398116707e-14
1.2846274618731246e-12,2.0106351176580134e-13,7.886279036548207e-12,4.501750950029599e-13,1.8356654359344e-14
1.3056728879504098e-12,2.043574373584682e-13,8.015476105281674e-12,4.575500943431619e-13,1.865738248777942e-14
1.3138734340752442e-12,2.0564094611971828e-13,8.065818945452807e-12,4.604238314695973e-13,1.8774564001672903e-14
1.327390959885031e-12,2.077566421408337e-13,8.148802521301545e-12,4.651608105909628e-13,1.8967722373612082e-14
1.3561678153713336e-12,2.1226065267569835e-13,8.32546254056386e-12,4.752451533571867e-13,1.9378928583496934e-14
1.3856819108560475e-12,2.1688005235449319e-13,8.506648448083224e-12,4.85587848911417e-13,1.9800669567261674e-14
1.3875445728502093e-12,2.1717158696113533e-13,8.518083259086964e-12,4.862405860395472e-13,1.9827286032680575e-14
1.4240442769302008e-12,2.2288433941158886e-13,8.74215355157981e-12,4.990312652360137e-13,2.0348847708652992e-14
1.4354936957333146e-12,2.2467634559280103e-13,8.81244109732167e-12,5.030435126387783e-13,2.0512453913425916e-14
1.4719994517588664e-12,2.303900452637239e-13,9.036548542477692e-12,5.158363126331012e-13,2.103410206853423e-14
1.4973791933954723e-12,2.3436235640653885e-13,9.192353809266815e-12,5.247301966123136e-13,2.139676529875454e-14
1.5381937903664927e-12,2.4075045446753894e-13,9.442913064794788e-12,5.390329541153688e-13,2.1979984536743198e-14
1.5683179819993034e-12,2.4546534336612075e-13,9.627844329319056e-12,5.495894471319623e-13,2.2410443475283907e-14
1.6216184426285808e-12,2.5380766681079564e-13,9.955053826059947e-12,5.682676559042549e-13,2.3172079172794868e-14
1.6527051273498288e-12,2.586732003485083e-13,1.0145893798977461e-11,5.791614376916297e-13,2.361629163402763e-14
1.725966643170211e-12,2.7013972903897676e-13,1.0595643452902488e-11,6.048346471031832e-13,2.466316036731427e-14
1.837914981724769e-12,2.8766132713194147e-13,1.1282890037396262e-11,6.440649729680362e-13,2.626284355791993e-14
2.0579993845858556e-12,3.2210784508167213e-13,1.2633979800045318e-11,7.211896802525865e-13,2.9407734534571493e-14
3.1421607992836265e-12,4.91795406518563e-13,1.9289605411924003e-11,1.1011149755973278e-12,4.48998339563959e-14
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
